Year,Indicator Name,Indicator Code,Value
1987,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2524.26
1986,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,3129.18
1985,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1935.16
1984,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,277.81
1983,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,268.56
1982,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,153.56
1981,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,341.37
1980,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1549.74
1979,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,5428.35
2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,153.94
2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,153.94
2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,298.95
2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,190.04
2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,138.3
2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,117.39
2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,126.26
2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,190.1
2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,261.31
2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,173.99
2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,205.86
2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,257.31
2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,229.05
2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,257.93
2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,311.71
2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,288.52
2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,291.32
2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,255.29
2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,287.01
2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,259.18
2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,304.56
2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,266.45
2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,269.91
1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,286.28
1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,262.01
1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,235.04
1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,238.07
1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,232.55
1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,246.32
1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,239.21
1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,202.94
1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,196.23
1990,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,190.16
1989,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,233.91
1988,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,230.62
1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,227.61
1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,217.77
1985,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,222.23
1984,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,218.92
1983,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,193.0
1982,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,181.6
1981,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,163.78
1980,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,183.63
1979,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,162.13
1978,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,135.89
1977,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,117.47
1976,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,105.89
1975,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,85.18
1974,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,122.18
1973,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,134.18
1972,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,121.53
1971,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,137.62
1970,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,129.75
1969,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,110.7
1968,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,163.26
1967,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,128.43
1966,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,131.86
1965,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,121.59
1964,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,106.98
1963,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,114.63
1962,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,165.45
1961,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,140.49
2021,Agricultural land (sq. km),AG.LND.AGRI.K2,28120.0
2020,Agricultural land (sq. km),AG.LND.AGRI.K2,28120.0
2019,Agricultural land (sq. km),AG.LND.AGRI.K2,28115.73
2018,Agricultural land (sq. km),AG.LND.AGRI.K2,28116.0
2017,Agricultural land (sq. km),AG.LND.AGRI.K2,27602.0
2016,Agricultural land (sq. km),AG.LND.AGRI.K2,27500.0
2015,Agricultural land (sq. km),AG.LND.AGRI.K2,27400.0
2014,Agricultural land (sq. km),AG.LND.AGRI.K2,27400.0
2013,Agricultural land (sq. km),AG.LND.AGRI.K2,27400.0
2012,Agricultural land (sq. km),AG.LND.AGRI.K2,27400.0
2011,Agricultural land (sq. km),AG.LND.AGRI.K2,27300.0
2010,Agricultural land (sq. km),AG.LND.AGRI.K2,26200.0
2009,Agricultural land (sq. km),AG.LND.AGRI.K2,26100.0
2008,Agricultural land (sq. km),AG.LND.AGRI.K2,25950.0
2007,Agricultural land (sq. km),AG.LND.AGRI.K2,23900.0
2006,Agricultural land (sq. km),AG.LND.AGRI.K2,24400.0
2005,Agricultural land (sq. km),AG.LND.AGRI.K2,25100.0
2004,Agricultural land (sq. km),AG.LND.AGRI.K2,23100.0
2003,Agricultural land (sq. km),AG.LND.AGRI.K2,23700.0
2002,Agricultural land (sq. km),AG.LND.AGRI.K2,23560.0
2001,Agricultural land (sq. km),AG.LND.AGRI.K2,23510.0
2000,Agricultural land (sq. km),AG.LND.AGRI.K2,23500.0
1999,Agricultural land (sq. km),AG.LND.AGRI.K2,23450.0
1998,Agricultural land (sq. km),AG.LND.AGRI.K2,23290.0
1997,Agricultural land (sq. km),AG.LND.AGRI.K2,23280.0
1996,Agricultural land (sq. km),AG.LND.AGRI.K2,23270.0
1995,Agricultural land (sq. km),AG.LND.AGRI.K2,23260.0
1994,Agricultural land (sq. km),AG.LND.AGRI.K2,23230.0
1993,Agricultural land (sq. km),AG.LND.AGRI.K2,23200.0
1992,Agricultural land (sq. km),AG.LND.AGRI.K2,23440.0
1991,Agricultural land (sq. km),AG.LND.AGRI.K2,23420.0
1990,Agricultural land (sq. km),AG.LND.AGRI.K2,23390.0
1989,Agricultural land (sq. km),AG.LND.AGRI.K2,23400.0
1988,Agricultural land (sq. km),AG.LND.AGRI.K2,23370.0
1987,Agricultural land (sq. km),AG.LND.AGRI.K2,23340.0
1986,Agricultural land (sq. km),AG.LND.AGRI.K2,23260.0
1985,Agricultural land (sq. km),AG.LND.AGRI.K2,23150.0
1984,Agricultural land (sq. km),AG.LND.AGRI.K2,23110.0
1983,Agricultural land (sq. km),AG.LND.AGRI.K2,23080.0
1982,Agricultural land (sq. km),AG.LND.AGRI.K2,22960.0
1981,Agricultural land (sq. km),AG.LND.AGRI.K2,23490.0
1980,Agricultural land (sq. km),AG.LND.AGRI.K2,23490.0
1979,Agricultural land (sq. km),AG.LND.AGRI.K2,23590.0
1978,Agricultural land (sq. km),AG.LND.AGRI.K2,24690.0
1977,Agricultural land (sq. km),AG.LND.AGRI.K2,24330.0
1976,Agricultural land (sq. km),AG.LND.AGRI.K2,23960.0
1975,Agricultural land (sq. km),AG.LND.AGRI.K2,23590.0
1974,Agricultural land (sq. km),AG.LND.AGRI.K2,23570.0
1973,Agricultural land (sq. km),AG.LND.AGRI.K2,23510.0
1972,Agricultural land (sq. km),AG.LND.AGRI.K2,23450.0
1971,Agricultural land (sq. km),AG.LND.AGRI.K2,23390.0
1970,Agricultural land (sq. km),AG.LND.AGRI.K2,23330.0
1969,Agricultural land (sq. km),AG.LND.AGRI.K2,23280.0
1968,Agricultural land (sq. km),AG.LND.AGRI.K2,23210.0
1967,Agricultural land (sq. km),AG.LND.AGRI.K2,22550.0
1966,Agricultural land (sq. km),AG.LND.AGRI.K2,22050.0
1965,Agricultural land (sq. km),AG.LND.AGRI.K2,21560.0
1964,Agricultural land (sq. km),AG.LND.AGRI.K2,21030.0
1963,Agricultural land (sq. km),AG.LND.AGRI.K2,20600.0
1962,Agricultural land (sq. km),AG.LND.AGRI.K2,17070.0
1961,Agricultural land (sq. km),AG.LND.AGRI.K2,17230.0
2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.46
2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.46
2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.46
2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.45
2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.45
2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.6
2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.43
2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.27
2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.69
2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.69
2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.69
2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.53
2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.78
2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.62
2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.38
2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.11
2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.91
2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.03
2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.84
2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.79
2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.57
2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.49
2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.47
1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.39
1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.14
1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.12
1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.11
1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.09
1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.04
1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.0
1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.38
1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.35
1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3
1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.31
1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.27
1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.22
1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.09
1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.92
1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.85
1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.8
1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.61
1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.46
1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.46
1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.62
1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.37
1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8
1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.21
1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.62
1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.59
1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.49
1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.39
1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3
1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.2
1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.12
1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.01
1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.96
1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.16
1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.38
1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.54
1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.85
1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.22
1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.48
2021,Arable land (hectares),AG.LND.ARBL.HA,1372000.0
2020,Arable land (hectares),AG.LND.ARBL.HA,1372000.0
2019,Arable land (hectares),AG.LND.ARBL.HA,1371572.8
2018,Arable land (hectares),AG.LND.ARBL.HA,1371600.0
2017,Arable land (hectares),AG.LND.ARBL.HA,1320200.0
2016,Arable land (hectares),AG.LND.ARBL.HA,1310000.0
2015,Arable land (hectares),AG.LND.ARBL.HA,1300000.0
2014,Arable land (hectares),AG.LND.ARBL.HA,1300000.0
2013,Arable land (hectares),AG.LND.ARBL.HA,1300000.0
2012,Arable land (hectares),AG.LND.ARBL.HA,1300000.0
2011,Arable land (hectares),AG.LND.ARBL.HA,1300000.0
2010,Arable land (hectares),AG.LND.ARBL.HA,1200000.0
2009,Arable land (hectares),AG.LND.ARBL.HA,1200000.0
2008,Arable land (hectares),AG.LND.ARBL.HA,1200000.0
2007,Arable land (hectares),AG.LND.ARBL.HA,1000000.0
2006,Arable land (hectares),AG.LND.ARBL.HA,1050000.0
2005,Arable land (hectares),AG.LND.ARBL.HA,1100000.0
2004,Arable land (hectares),AG.LND.ARBL.HA,900000.0
2003,Arable land (hectares),AG.LND.ARBL.HA,950000.0
2002,Arable land (hectares),AG.LND.ARBL.HA,936000.0
2001,Arable land (hectares),AG.LND.ARBL.HA,916000.0
2000,Arable land (hectares),AG.LND.ARBL.HA,915000.0
1999,Arable land (hectares),AG.LND.ARBL.HA,905000.0
1998,Arable land (hectares),AG.LND.ARBL.HA,889000.0
1997,Arable land (hectares),AG.LND.ARBL.HA,888000.0
1996,Arable land (hectares),AG.LND.ARBL.HA,887000.0
1995,Arable land (hectares),AG.LND.ARBL.HA,886000.0
1994,Arable land (hectares),AG.LND.ARBL.HA,883000.0
1993,Arable land (hectares),AG.LND.ARBL.HA,880000.0
1992,Arable land (hectares),AG.LND.ARBL.HA,905000.0
1991,Arable land (hectares),AG.LND.ARBL.HA,903000.0
1990,Arable land (hectares),AG.LND.ARBL.HA,900000.0
1989,Arable land (hectares),AG.LND.ARBL.HA,901000.0
1988,Arable land (hectares),AG.LND.ARBL.HA,898000.0
1987,Arable land (hectares),AG.LND.ARBL.HA,895000.0
1986,Arable land (hectares),AG.LND.ARBL.HA,887000.0
1985,Arable land (hectares),AG.LND.ARBL.HA,876000.0
1984,Arable land (hectares),AG.LND.ARBL.HA,872000.0
1983,Arable land (hectares),AG.LND.ARBL.HA,869000.0
1982,Arable land (hectares),AG.LND.ARBL.HA,857000.0
1981,Arable land (hectares),AG.LND.ARBL.HA,900000.0
1980,Arable land (hectares),AG.LND.ARBL.HA,900000.0
1979,Arable land (hectares),AG.LND.ARBL.HA,900000.0
1978,Arable land (hectares),AG.LND.ARBL.HA,1000000.0
1977,Arable land (hectares),AG.LND.ARBL.HA,950000.0
1976,Arable land (hectares),AG.LND.ARBL.HA,900000.0
1975,Arable land (hectares),AG.LND.ARBL.HA,850000.0
1974,Arable land (hectares),AG.LND.ARBL.HA,834000.0
1973,Arable land (hectares),AG.LND.ARBL.HA,828000.0
1972,Arable land (hectares),AG.LND.ARBL.HA,822000.0
1971,Arable land (hectares),AG.LND.ARBL.HA,816000.0
1970,Arable land (hectares),AG.LND.ARBL.HA,810000.0
1969,Arable land (hectares),AG.LND.ARBL.HA,804000.0
1968,Arable land (hectares),AG.LND.ARBL.HA,798000.0
1967,Arable land (hectares),AG.LND.ARBL.HA,792000.0
1966,Arable land (hectares),AG.LND.ARBL.HA,792000.0
1965,Arable land (hectares),AG.LND.ARBL.HA,793000.0
1964,Arable land (hectares),AG.LND.ARBL.HA,790000.0
1963,Arable land (hectares),AG.LND.ARBL.HA,792000.0
1962,Arable land (hectares),AG.LND.ARBL.HA,577000.0
1961,Arable land (hectares),AG.LND.ARBL.HA,595000.0
2021,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2020,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2019,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2018,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2017,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2016,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2015,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2014,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2013,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2012,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2011,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2010,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2009,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2008,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2007,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
2006,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
2005,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
2004,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.04
2003,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
2002,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
2001,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
2000,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
1999,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
1998,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
1997,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
1996,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
1995,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
1994,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
1993,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
1992,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
1991,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.05
1990,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1989,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1988,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1987,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1986,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1985,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1984,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1983,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1982,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1981,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1980,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1979,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1978,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.07
1977,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.07
1976,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.07
1975,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1974,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1973,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1972,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1971,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.07
1970,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.07
1969,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.07
1968,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.07
1967,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.07
1966,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.07
1965,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.07
1964,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.07
1963,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.08
1962,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
1961,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.06
2022,Arable land (% of land area),AG.LND.ARBL.ZS,22.18
2021,Arable land (% of land area),AG.LND.ARBL.ZS,22.18
2020,Arable land (% of land area),AG.LND.ARBL.ZS,22.18
2019,Arable land (% of land area),AG.LND.ARBL.ZS,22.17
2018,Arable land (% of land area),AG.LND.ARBL.ZS,22.17
2017,Arable land (% of land area),AG.LND.ARBL.ZS,21.33
2016,Arable land (% of land area),AG.LND.ARBL.ZS,21.17
2015,Arable land (% of land area),AG.LND.ARBL.ZS,21.0
2014,Arable land (% of land area),AG.LND.ARBL.ZS,20.73
2013,Arable land (% of land area),AG.LND.ARBL.ZS,20.73
2012,Arable land (% of land area),AG.LND.ARBL.ZS,20.73
2011,Arable land (% of land area),AG.LND.ARBL.ZS,20.73
2010,Arable land (% of land area),AG.LND.ARBL.ZS,19.14
2009,Arable land (% of land area),AG.LND.ARBL.ZS,19.14
2008,Arable land (% of land area),AG.LND.ARBL.ZS,19.14
2007,Arable land (% of land area),AG.LND.ARBL.ZS,15.95
2006,Arable land (% of land area),AG.LND.ARBL.ZS,16.74
2005,Arable land (% of land area),AG.LND.ARBL.ZS,17.54
2004,Arable land (% of land area),AG.LND.ARBL.ZS,14.35
2003,Arable land (% of land area),AG.LND.ARBL.ZS,15.15
2002,Arable land (% of land area),AG.LND.ARBL.ZS,14.93
2001,Arable land (% of land area),AG.LND.ARBL.ZS,14.61
2000,Arable land (% of land area),AG.LND.ARBL.ZS,14.59
1999,Arable land (% of land area),AG.LND.ARBL.ZS,14.43
1998,Arable land (% of land area),AG.LND.ARBL.ZS,14.18
1997,Arable land (% of land area),AG.LND.ARBL.ZS,14.16
1996,Arable land (% of land area),AG.LND.ARBL.ZS,14.14
1995,Arable land (% of land area),AG.LND.ARBL.ZS,14.13
1994,Arable land (% of land area),AG.LND.ARBL.ZS,14.08
1993,Arable land (% of land area),AG.LND.ARBL.ZS,14.03
1992,Arable land (% of land area),AG.LND.ARBL.ZS,14.43
1991,Arable land (% of land area),AG.LND.ARBL.ZS,14.4
1990,Arable land (% of land area),AG.LND.ARBL.ZS,14.35
